Mn,Ni,Mg,Ca,Fe,La,Y,In,J.uAcm2_0.80_fromCV,J.uAcm2_0.63_secondCA,J.uAcm2_0.63_initialCA
0.6,0.2,0,0,0.1,0.1,0,0,,4786.047619,4667.185714
0.6,0,0,0.1,0.1,0.2,0,0,1408.00085,4604.92381,2640.07619
0.6,0,0,0.2,0.1,0.1,0,0,,4398.847619,3975.861905
0.5,0.3,0.2,0,0,0,0,0,1125.2446,4081.12381,2027.104762
0.5,0,0.1,0,0.1,0.3,0,0,1068.22,4024.771429,1622.133333
0.1,0.8,0.1,0,0,0,0,0,923.11119,3914.819048,1899.1
0.2,0,0,0.7,0.1,0,0,0,779.34305,3833.014286,2019.361905
0.3,0.5,0.1,0,0,0.1,0,0,899.3424,3798.4,2310.019048
0.4,0,0,0.5,0,0.1,0,0,1357.6795,3787.809524,
0.4,0,0.1,0,0.4,0.1,0,0,1017.103,3778.638095,2965.238095
0.2,0,0.7,0.1,0,0,0,0,970.81207,3621.57619,1731.921429
0.3,0,0,0.2,0.1,0.4,0,0,911.356,3618.528571,1977.471429
0.4,0,0.2,0,0.1,0.3,0,0,1028.03,3612.357143,2513.714286
0,0.1,0,0,0.2,0.7,0,0,,3587.352381,1316.642857
0.3,0,0.4,0.2,0,0.1,0,0,1055.552,3561.695238,1490.033333
0.1,0.5,0.2,0,0,0.2,0,0,,3519.895238,1001.418095
0.3,0,0.1,0.1,0,0.5,0,0,,3503.242857,874.9119048
0,0.1,0,0.3,0.5,0.1,0,0,,3496.585714,670.142381
0.5,0,0.1,0.3,0,0.1,0,0,,3484.090476,2889.880952
0.3,0,0.3,0.1,0,0.3,0,0,1020.7685,3433.328571,1818.957143
0.4,0.3,0,0,0.3,0,0,0,1371.17,3395.078571,2777.780952
0.8,0,0,0,0.1,0.1,0,0,841.072,3305.516667,2885.561905
0,0.3,0.2,0,0.4,0.1,0,0,,3304.304762,1647.547619
0,0.3,0.1,0,0.5,0.1,0,0,926.13,3298.957143,
0.1,0,0,0.3,0.3,0.3,0,0,1015.6145,3277.771429,1410.628571
0,0.3,0.4,0,0.1,0.2,0,0,923.14226,3272.238095,891.0604762
0.9,0,0.1,0,0,0,0,0,500.28325,3268.4,3270.785714
0.1,0,0,0.5,0.2,0.2,0,0,932.9865,3263.438095,1281.680952
0.2,0.4,0.1,0,0,0.3,0,0,1085.88945,3254.228571,1495.466667
0.7,0.1,0,0.1,0.1,0,0,0,1430.4815,3248.17619,3868.435714
0,0.6,0,0.2,0.1,0.1,0,0,,3243.366667,745.7171429
0.3,0,0.4,0.2,0.1,0,0,0,938.10785,3238.557143,2574.37381
0.5,0.3,0,0,0.1,0.1,0,0,1073.4115,3227.4,2617.290476
0.2,0,0,0.1,0.3,0.4,0,0,,3200.819048,
0,0.2,0,0,0.7,0.1,0,0,920.37435,3181.585714,874.7714286
0.6,0,0,0.2,0.1,0,0.1,0,,3134.333333,
0.6,0,0,0.1,0.2,0.1,0,0,1222.92,3134.038095,2996.857143
0.6,0,0.1,0.1,0,0.2,0,0,1341.321,3126.57619,2366.72381
0,0.1,0,0.2,0.6,0.1,0,0,813.4075,3107.071429,695.567619
0,0.1,0.4,0,0.4,0.1,0,0,,3099.295238,1901.27619
